kinase,dep_diff_iCCA_minus_HCC,dep_fdr_icca_vs_hcc,chronos_iCCA,chronos_HCC,chronos_other,common_essential,log2FC_iCCA_HCC,rna_fdr
TFRC,-0.5481153276837418,0.06297691707311547,-0.9894065706111392,-0.4412912429273972,-0.7968355832132252,True,0.6420709517904406,0.0005930480039212
TRPM7,-0.520824979998068,0.0751824725073114,-1.0516716401155908,-0.5308466601175228,-0.7208099145430217,True,0.6330473732681585,1.90867328443288e-05
SLC3A2,-0.3694085901153321,0.06297691707311547,-0.7249000444991494,-0.3554914543838172,-0.4943311779191602,False,0.7587271489982053,2.1747269867370304e-06
NHEJ1,-0.1586983257081125,0.0445751119814641,-0.1711896354252104,-0.0124913097170979,-0.0987574736955826,False,0.459905846835099,7.303282546015559e-06
